DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
12/31/2016,16055.4342587827,3091.54744732272,12309.9890797212,1561.52820446297,1425.94215442906,55610.3669035087,8990.48155365811
03/31/2017,17387.4375901793,3956.76776057317,12817.1572037529,1726.63669536408,1475.85631452086,57362.4617068224,73118.1014621452
06/30/2017,18011.1382271664,3719.09431179152,12658.2256232291,1616.34375763856,1197.0199828264,59943.223131004,60058.724174959
09/30/2017,19091.7479281595,3105.11006246157,13599.0718741862,1157.08611853841,1145.37093180706,38553.0321757503,58062.1743828329
12/31/2017,19830.0220661214,3650.1043478235,13492.9917999783,717.016935444547,1173.58756241989,49774.6201592739,68753.1030506685
03/31/2018,22383.5942483819,3680.8145422507,17599.9846083537,816.279568121935,1716.5757234348,123872.429576561,71056.9384558206
06/30/2018,24324.2206208036,3585.10292739273,21550.2131444548,731.632649171245,1656.09547257569,145044.780175986,72676.6667504506
09/30/2018,25745.1210828659,3871.4733306585,22102.4321467119,898.667982548139,1480.10535473361,138429.316972478,74094.5349986534
12/31/2018,27245.5826659943,4499.14847498946,24174.6881124314,1686.32329838221,1272.47397266549,116144.734289162,72841.9192005412
03/31/2019,25644.5669870322,4919.97927107198,23683.7024474435,1965.02394387448,1090.35460083201,84778.8964410759,64989.0746683975
06/30/2019,24063.551093679,5052.1814347864,16850.7105062863,1996.16392112472,1020.54628072964,84623.0275485119,63129.8657974179
09/30/2019,27242.0271940775,5601.87129696655,18843.5448489977,1828.65819920613,1110.89635480142,84623.0275485119,151603.174819769
12/31/2019,27522.9186367599,5340.4968451982,21534.5656623916,1828.65819920613,1177.85360342917,84623.0275485119,166844.262279029
03/31/2020,27528.5546890471,4979.38539906093,23613.1335909096,1828.65819920613,1312.52331196227,84623.0275485119,177839.556840304
06/30/2020,26700.414410909,6697.69541743742,23027.3740530217,1828.65819920613,1383.42374847952,84623.0275485119,187848.247754079
